,0
0,Occupation_Satisfaction
1,Avg_monthly_expense_when_under_age_21
2,AVG_lottary_expanses
3,Garden_sqr_meter_per_person_in_residancy_area
4,Yearly_IncomeK
5,Avg_monthly_expense_on_pets_or_plants
6,Avg_monthly_household_cost
7,Avg_size_per_room
8,Weighted_education_rank
9,Last_school_grades
10,Number_of_differnt_parties_voted_for
11,Political_interest_Total_Score
12,Overall_happiness_score
13,Looking_at_poles_int
14,Married_int
15,Gender_int
16,Voting_time_int
17,Financial_agenda_matters_int
18,Will_vote_only_large_party_int
19,Age_group_int
20,Most_Important_Issue_Social
21,Most_Important_Issue_Education
22,Most_Important_Issue_Environment
23,Most_Important_Issue_Financial
24,Most_Important_Issue_Healthcare
25,Most_Important_Issue_Foreign_Affairs
26,Most_Important_Issue_Other
27,Most_Important_Issue_Military
28,Main_transportation_Car
29,Main_transportation_Public_or_other
30,Main_transportation_Foot_or_bicycle
31,Main_transportation_Motorcycle_or_truck
32,Occupation_Services_or_Retail
33,Occupation_Public_Sector
34,Occupation_Student_or_Unemployed
35,Occupation_Hightech
36,Occupation_Industry_or_other
